Target,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End
BQCV,TRUE,0.149,TRUE,N/A,N/A
DWV,TRUE,0.137,TRUE,N/A,N/A
ACTIN,TRUE,0.267,TRUE,N/A,N/A
IAPV,TRUE,0.25,TRUE,N/A,N/A
