#Instrument:StepOnePlus System,,,,,,,,
#Block:96-Well,,,,,,,,
Reporter,Target,Slope,Y-Intercept,R2,Efficiency (%),Quantities,Std Dev,Std Error
SYBR,BQCV,-3.4422,34.8074,0.9981,95.21441424,"4.11, 41.1, 411.0, 4110.0, 41100.0, 411000.0",0.0713,0.036874381
SYBR,DWV,-3.5567,35.2228,0.993,91.05548124,"4.11, 41.1, 411.0, 4110.0, 41100.0, 411000.0",0.2903,0.074365312
SYBR,ACTIN,-3.584,36.5667,0.9988,90.11564493,"4110.0, 41100.0, 411000.0, 4110000.0, 4.11E7, 4.11E8",0.0484,0.030367307
SYBR,IAPV,-3.5795,36.7574,0.9983,90.26925903,"41.1, 411.0, 4110.0, 41100.0, 411000.0",0.0501,0.04089756
