Sex,Hood,PlantNum,StalkTrt,Color,PollenRemoval,nRows,SumNumFruits,SumAbts,SumDestr,SumDeh,SumSeedNum,SumSeedWeight,FruitsetPerc,ArcsinePerset,SeedsDivSetfruit
H,5,2,HP,red,Pre,1,2,1,0,0,1,0,0.5,0.523598776,1
F,5,3,C,red,Pre,3,5,2,0,0,13,0.0176,0.6,0.643501109,4.333333333
F,5,3,HP,red,Pre,1,2,0,1,0,15,0.0176,1,1.570796327,15
F,5,1,C,white,No,1,5,0,0,0,37,0.0325,1,1.570796327,7.4
F,5,1,HP,white,No,2,2,0,0,0,24,0.012,1,1.570796327,12
H,5,1,C,white,No,3,10,7,0,0,6,0.008,0.3,0.304692654,2
H,5,1,HP,white,No,2,2,2,0,0,0,0,0,0,
F,5,2,C,white,No,3,13,1,1,0,92,0.0779,0.923076923,1.176005207,8.363636364
F,5,2,HP,white,No,3,12,0,3,0,104,0.0917,1,1.570796327,11.55555556
H,5,2,C,white,No,2,9,5,0,0,9,0.0122,0.444444444,0.460553992,2.25
H,5,2,HP,white,No,2,8,1,1,0,14,0.0151,0.875,1.065435817,2.333333333
F,5,3,C,white,No,3,7,0,1,0,28,0.0276,1,1.570796327,4.666666667
F,5,3,HP,white,No,1,3,0,2,0,2,0.0011,1,1.570796327,2
H,5,3,,white,No,1,1,1,0,0,0,0,0,0,
H,5,3,C,white,No,2,14,5,1,0,17,0.0131,0.642857143,0.698222473,2.125
H,5,3,HP,white,No,3,3,2,0,0,5,0.006,0.333333333,0.339836909,5
F,5,1,C,yellow,Yes,1,2,2,0,0,0,0,0,0,
F,5,1,HP,yellow,Yes,3,9,1,5,0,69,0.0578,0.888888889,1.094914077,23
H,5,1,C,yellow,Yes,1,6,2,1,0,3,0.0033,0.666666667,0.729727656,1
H,5,1,HP,yellow,Yes,2,8,0,2,0,77,0.0898,1,1.570796327,12.83333333
F,5,2,C,yellow,Yes,2,7,0,3,0,70,0.0556,1,1.570796327,17.5
F,5,2,HP,yellow,Yes,3,6,0,1,0,96,0.0828,1,1.570796327,19.2
H,5,2,C,yellow,Yes,4,15,7,2,0,47,0.0477,0.533333333,0.562536245,7.833333333
H,5,2,HP,yellow,Yes,2,16,1,8,0,78,0.0945,0.9375,1.215375125,11.14285714
F,5,3,HP,yellow,Yes,1,1,0,1,0,0,0,1,1.570796327,
F,6,1,HP,black,Yes,1,2,0,0,0,2,0.0022,1,1.570796327,1
H,6,2,C,black,Yes,3,8,8,0,0,0,0,0,0,
H,6,2,HP,black,Yes,2,3,3,0,0,0,0,0,0,
F,6,3,HP,black,Yes,1,4,3,0,0,4,0.0015,0.25,0.252680255,4
F,6,1,HP,blue,No,1,1,0,0,0,16,0.0187,1,1.570796327,16
H,6,1,C,blue,No,1,3,0,3,0,0,0,1,1.570796327,
H,6,1,HP,blue,No,1,1,0,1,0,0,0,1,1.570796327,
H,6,2,C,blue,No,2,3,1,0,0,9,0.0111,0.666666667,0.729727656,4.5
H,6,2,HP,blue,No,1,5,2,0,0,23,0.0213,0.6,0.643501109,7.666666667
F,6,3,HP,blue,No,1,3,0,2,0,21,0.0192,1,1.570796327,21
H,6,3,HP,blue,No,1,2,0,2,0,0,0,1,1.570796327,
F,6,1,HP,green,No,1,3,0,0,0,24,0.0213,1,1.570796327,8
H,6,2,C,green,No,1,3,1,0,0,11,0.0084,0.666666667,0.729727656,5.5
H,6,2,HP,green,No,3,5,2,0,0,14,0.0111,0.6,0.643501109,4.666666667
F,6,3,HP,green,No,1,7,0,2,0,21,0.0193,1,1.570796327,4.2
F,6,1,C,pink,Pre,2,9,2,1,0,24,0.0161,0.777777778,0.891122508,4
F,6,1,HP,pink,Pre,1,6,1,0,0,75,0.0697,0.833333333,0.985110783,15
H,6,1,C,pink,Pre,2,9,0,5,0,44,0.0377,1,1.570796327,11
H,6,1,HP,pink,Pre,1,3,0,2,0,2,0,1,1.570796327,2
F,6,2,C,pink,Pre,2,11,3,2,0,67,0.0594,0.727272727,0.814339942,11.16666667
F,6,2,HP,pink,Pre,2,7,1,2,0,30,0.0252,0.857142857,1.029696801,7.5
H,6,2,C,pink,Pre,4,12,6,1,0,27,0.0162,0.5,0.523598776,5.4
H,6,2,HP,pink,Pre,1,1,1,0,0,0,0,0,0,
F,6,3,C,pink,Pre,1,8,4,1,0,23,0,0.5,0.523598776,7.666666667
F,6,3,HP,pink,Pre,4,10,4,2,0,33,0.0319,0.6,0.643501109,8.25
H,6,3,C,pink,Pre,1,13,6,3,0,28,0.0154,0.538461538,0.5686103,7
H,6,3,HP,pink,Pre,2,6,0,0,0,15,0,1,1.570796327,2.5
F,6,1,C,red,Pre,1,1,0,0,0,13,0.0152,1,1.570796327,13
F,6,1,HP,red,Pre,2,3,0,0,0,24,0.032,1,1.570796327,8
H,6,1,C,red,Pre,1,4,1,2,0,3,0.0028,0.75,0.848062079,3
F,6,2,HP,red,Pre,1,1,1,0,0,0,0,0,0,
H,6,2,C,red,Pre,4,8,5,0,0,4,0,0.375,0.384396774,1.333333333
H,6,2,HP,red,Pre,1,1,1,0,0,0,0,0,0,
H,6,3,HP,red,Pre,1,1,1,0,0,0,0,0,0,
F,6,1,C,white,Yes,1,1,0,0,0,12,0.0087,1,1.570796327,12
F,6,1,HP,white,Yes,1,2,0,0,0,26,0.0292,1,1.570796327,13
H,6,1,HP,white,Yes,1,2,1,0,0,3,0.0018,0.5,0.523598776,3
H,6,2,C,white,Yes,1,1,0,0,0,1,0.0011,1,1.570796327,1
H,6,2,HP,white,Yes,1,1,1,0,0,0,0,0,0,
F,6,3,HP,white,Yes,1,1,0,1,0,0,0,1,1.570796327,
H,6,3,HP,white,Yes,1,1,0,0,0,6,0.0046,1,1.570796327,6
F,6,1,C,yellow,No,1,3,0,0,0,57,0.0623,1,1.570796327,19
F,6,1,HP,yellow,No,1,1,0,1,0,0,0,1,1.570796327,
H,6,1,C,yellow,No,2,5,2,1,0,25,0.0138,0.6,0.643501109,12.5
H,6,1,HP,yellow,No,1,1,0,1,0,0,0,1,1.570796327,
F,6,2,HP,yellow,No,2,3,0,2,0,17,0,1,1.570796327,17
H,6,2,HP,yellow,No,2,13,3,3,0,141,0.104,0.769230769,0.877636419,20.14285714
F,7,1,HP,black,No,1,2,0,0,0,6,0.006,1,1.570796327,3
H,7,3,C,black,No,1,5,1,2,0,0,0,0.8,0.927295218,0
H,7,3,HP,black,No,2,9,6,2,0,2,0,0.333333333,0.339836909,2
F,7,1,C,blue,Yes,1,5,0,3,0,12,0.0129,1,1.570796327,6
F,7,1,HP,blue,Yes,1,1,0,1,0,0,0,1,1.570796327,
H,7,1,C,blue,Yes,1,1,0,1,0,0,0,1,1.570796327,
H,7,1,HP,blue,Yes,2,6,0,3,0,19,0.0172,1,1.570796327,6.333333333
H,7,2,C,blue,Yes,1,3,2,0,0,4,0.0033,0.333333333,0.339836909,4
F,7,3,C,blue,Yes,2,10,4,1,0,33,0.0242,0.6,0.643501109,6.6
F,7,3,HP,blue,Yes,3,9,2,2,0,32,0.0312,0.777777778,0.891122508,6.4
H,7,3,C,blue,Yes,2,10,3,9,0,6,0.004,0.7,0.775397497,-3
H,7,3,HP,blue,Yes,4,12,3,7,0,7,0.0042,0.75,0.848062079,3.5
H,7,1,C,green,Yes,1,4,0,1,0,5,0.0043,1,1.570796327,1.666666667
H,7,1,HP,green,Yes,1,2,1,0,0,14,0.011,0.5,0.523598776,14
F,7,1,C,pink,Pre,1,12,5,1,0,41,0.0316,0.583333333,0.622826585,6.833333333
F,7,1,HP,pink,Pre,1,4,0,1,0,10,0.0059,1,1.570796327,3.333333333
H,7,1,C,pink,Pre,2,4,3,0,0,10,0.0031,0.25,0.252680255,10
H,7,1,HP,pink,Pre,2,3,1,0,0,7,0.0029,0.666666667,0.729727656,3.5
F,7,2,C,pink,Pre,1,1,1,0,0,0,0,0,0,
F,7,2,HP,pink,Pre,1,1,0,0,0,4,0.0052,1,1.570796327,4
H,7,2,C,pink,Pre,2,10,7,3,0,0,0,0.3,0.304692654,
H,7,2,HP,pink,Pre,1,4,1,2,0,5,0,0.75,0.848062079,5
F,7,3,C,pink,Pre,2,15,12,0,0,14,0.0139,0.2,0.201357921,4.666666667
F,7,3,HP,pink,Pre,1,4,0,1,0,11,0.0061,1,1.570796327,3.666666667
H,7,3,C,pink,Pre,1,18,7,3,0,51,0.0419,0.611111111,0.657463556,6.375
H,7,3,HP,pink,Pre,3,19,11,1,0,20,0.0147,0.421052632,0.434605526,2.857142857
F,7,1,C,red,Pre,1,2,2,0,0,0,0,0,0,
F,7,1,HP,red,Pre,2,3,1,2,0,0,0,0.666666667,0.729727656,
H,7,1,C,red,Pre,1,1,0,1,0,0,0,1,1.570796327,
H,7,1,HP,red,Pre,1,3,0,2,0,8,0.0094,1,1.570796327,8
H,7,2,C,red,Pre,1,1,0,0,0,0,0,1,1.570796327,0
H,7,2,HP,red,Pre,1,2,2,0,0,0,0,0,0,
F,7,3,C,red,Pre,1,2,2,0,0,0,0,0,0,
H,7,3,C,red,Pre,1,3,3,0,0,0,0,0,0,
H,7,3,HP,red,Pre,1,1,1,0,0,0,0,0,0,
F,7,1,C,white,No,2,11,6,0,0,12,0.0096,0.454545455,0.471861837,2.4
F,7,1,HP,white,No,2,7,4,1,0,6,0.0058,0.428571429,0.442911044,3
H,7,1,C,white,No,2,2,1,0,0,6,0,0.5,0.523598776,6
H,7,1,HP,white,No,1,1,1,0,0,0,0,0,0,
F,7,3,C,white,No,2,4,1,0,0,13,0.0135,0.75,0.848062079,4.333333333
F,7,3,HP,white,No,2,6,1,0,0,17,0.0156,0.833333333,0.985110783,3.4
H,7,3,C,white,No,1,7,3,4,0,0,0,0.571428571,0.608245579,
H,7,3,HP,white,No,2,9,6,2,0,6,0.0035,0.333333333,0.339836909,6
F,7,1,C,yellow,Yes,1,17,4,5,0,34,0.0304,0.764705882,0.870584771,4.25
F,7,1,HP,yellow,Yes,2,3,1,1,0,3,0.0036,0.666666667,0.729727656,3
H,7,1,HP,yellow,Yes,2,4,2,2,0,0,0,0.5,0.523598776,
F,7,2,C,yellow,Yes,2,3,1,1,0,2,0,0.666666667,0.729727656,2
F,7,2,HP,yellow,Yes,2,4,0,2,0,29,0.0327,1,1.570796327,14.5
F,7,3,C,yellow,Yes,1,2,0,0,0,14,0.0108,1,1.570796327,7
H,8,1,C,black,Yes,1,4,3,0,0,1,0,0.25,0.252680255,1
F,8,3,C,black,Yes,1,4,4,0,0,0,0,0,0,
H,8,3,HP,black,Yes,1,4,4,0,0,0,0,0,0,
F,8,1,HP,blue,No,1,3,0,0,0,18,0.0111,1,1.570796327,6
H,8,1,C,blue,No,1,2,1,0,0,5,0.0056,0.5,0.523598776,5
H,8,1,HP,blue,No,2,4,0,1,0,23,0.0061,1,1.570796327,7.666666667
F,8,2,C,blue,No,2,4,0,3,0,12,0.0137,1,1.570796327,12
F,8,2,HP,blue,No,1,7,0,5,0,9,0.0111,1,1.570796327,4.5
H,8,2,C,blue,No,2,4,1,2,0,3,0,0.75,0.848062079,3
H,8,2,HP,blue,No,1,5,0,2,0,24,0.0247,1,1.570796327,8
F,8,3,C,blue,No,1,1,0,1,0,0,0,1,1.570796327,
F,8,3,HP,blue,No,2,8,0,4,0,16,0.0146,1,1.570796327,4
H,8,3,C,blue,No,2,4,2,2,0,0,0,0.5,0.523598776,
H,8,3,HP,blue,No,2,2,0,1,0,5,0.0065,1,1.570796327,5
F,8,2,C,green,No,1,3,0,0,0,8,0.0089,1,1.570796327,2.666666667
F,8,2,HP,green,No,1,4,0,1,0,19,0.0233,1,1.570796327,6.333333333
F,8,3,C,green,No,2,4,1,1,0,3,0.0017,0.75,0.848062079,1.5
F,8,3,HP,green,No,1,2,1,0,0,16,0.0096,0.5,0.523598776,16
H,8,3,C,green,No,1,3,0,1,0,8,0.0073,1,1.570796327,4
H,8,3,HP,green,No,1,3,0,2,0,2,0.0021,1,1.570796327,2
H,8,1,C,pink,Pre,3,8,8,0,0,0,0,0,0,
H,8,1,HP,pink,Pre,2,5,5,0,0,0,0,0,0,
F,8,2,C,pink,Pre,2,28,6,11,0,109,0.105,0.785714286,0.903849982,9.909090909
F,8,2,HP,pink,Pre,3,6,1,2,0,35,0.0305,0.833333333,0.985110783,11.66666667
H,8,2,C,pink,Pre,2,3,2,0,0,5,0.0069,0.333333333,0.339836909,5
H,8,2,HP,pink,Pre,1,1,0,0,0,2,0.0028,1,1.570796327,2
F,8,3,C,pink,Pre,3,17,6,2,0,39,0.022,0.647058824,0.703720508,4.333333333
F,8,3,HP,pink,Pre,1,6,2,1,0,9,0.0062,0.666666667,0.729727656,3
H,8,3,C,pink,Pre,4,16,3,2,0,29,0.0174,0.8125,0.948427838,2.636363636
H,8,3,HP,pink,Pre,2,10,0,3,0,19,0.0061,1,1.570796327,2.714285714
F,8,1,HP,red,Pre,2,2,1,0,0,1,0,0.5,0.523598776,1
F,8,2,C,red,Pre,1,1,0,0,0,2,0.0013,1,1.570796327,2
F,8,2,HP,red,Pre,2,4,2,0,0,24,0.021,0.5,0.523598776,12
F,8,3,HP,red,Pre,4,8,2,1,0,25,0.0238,0.75,0.848062079,5
H,8,3,C,red,Pre,2,2,1,0,0,1,0,0.5,0.523598776,1
F,8,1,HP,white,Yes,3,6,0,1,0,24,0.0184,1,1.570796327,4.8
H,8,1,C,white,Yes,2,14,11,1,0,2,0.0016,0.214285714,0.215960499,1
F,8,2,C,white,Yes,3,6,1,0,0,36,0.0295,0.833333333,0.985110783,7.2
F,8,2,HP,white,Yes,2,4,0,0,0,55,0.012,1,1.570796327,13.75
H,8,2,C,white,Yes,1,7,5,0,0,12,0.0123,0.285714286,0.289751701,6
H,8,2,HP,white,Yes,3,9,3,3,0,36,0.0277,0.666666667,0.729727656,12
F,8,3,C,white,Yes,3,8,7,0,0,2,0.0013,0.125,0.125327831,2
F,8,3,HP,white,Yes,1,7,1,1,0,36,0.0249,0.857142857,1.029696801,7.2
H,8,3,C,white,Yes,2,4,1,0,0,14,0.0149,0.75,0.848062079,4.666666667
H,8,3,HP,white,Yes,3,3,0,1,0,5,0.0075,1,1.570796327,2.5
F,8,1,C,yellow,No,1,7,0,5,0,31,0.0323,1,1.570796327,15.5
F,8,1,HP,yellow,No,1,11,0,8,0,41,0.0418,1,1.570796327,13.66666667
H,8,1,HP,yellow,No,2,7,1,4,0,10,0.0102,0.857142857,1.029696801,5
F,8,2,C,yellow,No,3,10,1,6,0,37,0.0402,0.9,1.119769515,12.33333333
F,8,2,HP,yellow,No,1,6,1,3,0,25,0.0222,0.833333333,0.985110783,12.5
H,8,2,C,yellow,No,1,5,0,5,0,0,0,1,1.570796327,
F,9,1,C,black,No,1,6,1,2,0,12,0.0103,0.833333333,0.985110783,4
F,9,1,HP,black,No,1,2,1,0,0,11,0.0057,0.5,0.523598776,11
F,9,2,C,black,No,1,1,1,0,0,0,0,0,0,
F,9,2,HP,black,No,1,2,1,0,0,2,0.0019,0.5,0.523598776,2
H,9,2,HP,black,No,1,2,2,0,0,0,0,0,0,
F,9,3,C,black,No,1,3,0,0,0,11,0.009,1,1.570796327,3.666666667
F,9,3,HP,black,No,1,4,0,0,0,10,0.0094,1,1.570796327,2.5
H,9,3,C,black,No,1,1,0,0,0,1,0,1,1.570796327,1
H,9,3,HP,black,No,1,2,0,0,0,7,0.0063,1,1.570796327,3.5
F,9,1,C,blue,Yes,3,10,1,0,0,96,0.0902,0.9,1.119769515,10.66666667
F,9,1,HP,blue,Yes,2,8,3,2,0,32,0.0195,0.625,0.675131533,10.66666667
H,9,1,C,blue,Yes,1,5,0,3,0,4,0.0032,1,1.570796327,2
H,9,1,HP,blue,Yes,2,4,0,2,0,10,0.0095,1,1.570796327,5
F,9,2,C,blue,Yes,2,7,1,0,0,17,0.0134,0.857142857,1.029696801,2.833333333
F,9,2,HP,blue,Yes,2,4,0,0,0,25,0.0162,1,1.570796327,6.25
H,9,2,C,blue,Yes,1,3,5,0,0,5,0.0022,-0.666666667,-0.729727656,-2.5
H,9,2,HP,blue,Yes,2,3,0,0,0,25,0.026,1,1.570796327,8.333333333
F,9,3,HP,blue,Yes,2,4,0,1,0,14,0.0113,1,1.570796327,4.666666667
H,9,3,C,blue,Yes,1,4,2,1,0,7,0.0092,0.5,0.523598776,7
H,9,3,HP,blue,Yes,1,2,0,1,0,11,0.0116,1,1.570796327,11
H,9,1,C,green,Yes,1,2,1,0,0,1,0,0.5,0.523598776,1
H,9,1,HP,green,Yes,2,3,1,1,0,4,0.0049,0.666666667,0.729727656,4
F,9,3,C,green,Yes,1,6,0,1,0,52,0.0425,1,1.570796327,10.4
F,9,3,HP,green,Yes,1,4,0,0,0,36,0.0271,1,1.570796327,9
H,9,3,C,green,Yes,1,4,0,0,0,10,0.0117,1,1.570796327,2.5
H,9,3,HP,green,Yes,1,8,1,0,0,22,0.0235,0.875,1.065435817,3.142857143
F,9,1,C,pink,Pre,4,16,4,4,0,114,0.0234,0.75,0.848062079,14.25
F,9,1,HP,pink,Pre,3,16,5,1,0,86,0.0433,0.6875,0.758040765,8.6
H,9,1,C,pink,Pre,3,10,3,2,0,21,0.0172,0.7,0.775397497,4.2
H,9,1,HP,pink,Pre,3,6,1,1,0,24,0.0228,0.833333333,0.985110783,6
F,9,2,C,pink,Pre,4,22,6,4,0,98,0.0065,0.727272727,0.814339942,8.166666667
F,9,2,HP,pink,Pre,2,10,3,4,0,11,0.0048,0.7,0.775397497,3.666666667
H,9,2,C,pink,Pre,2,8,5,1,0,10,0,0.375,0.384396774,5
H,9,2,HP,pink,Pre,1,2,1,0,0,1,0,0.5,0.523598776,1
F,9,3,C,pink,Pre,4,22,3,7,0,134,0.1018,0.863636364,1.042439063,11.16666667
F,9,3,HP,pink,Pre,4,13,2,2,0,56,0.0372,0.846153846,1.008726524,6.222222222
H,9,3,C,pink,Pre,1,6,0,1,0,22,0.0217,1,1.570796327,4.4
H,9,3,HP,pink,Pre,1,7,1,0,0,25,0.026,0.857142857,1.029696801,4.166666667
F,9,1,HP,red,Pre,2,3,0,1,0,12,0.0092,1,1.570796327,6
H,9,1,C,red,Pre,1,3,0,1,0,16,0.0114,1,1.570796327,8
H,9,1,HP,red,Pre,1,1,1,0,0,0,0,0,0,
F,9,2,C,red,Pre,1,1,0,0,0,7,0.0065,1,1.570796327,7
F,9,2,HP,red,Pre,1,2,0,0,0,18,0.0133,1,1.570796327,9
H,9,2,C,red,Pre,2,9,3,1,1,18,0.0206,0.7,0.775397497,3.6
H,9,2,HP,red,Pre,4,14,8,2,0,40,0.0459,0.428571429,0.442911044,10
F,9,3,C,red,Pre,1,4,1,1,0,16,0.0128,0.75,0.848062079,8
H,9,3,HP,red,Pre,1,2,1,0,0,5,0.0069,0.5,0.523598776,5
F,9,1,C,white,No,2,5,1,1,0,19,0.018,0.8,0.927295218,6.333333333
F,9,1,HP,white,No,1,2,0,1,0,9,0.0079,1,1.570796327,9
H,9,1,C,white,No,2,8,0,4,0,19,0.0196,1,1.570796327,4.75
H,9,1,HP,white,No,1,8,0,4,0,31,0.0226,1,1.570796327,7.75
F,9,2,C,white,No,1,4,0,1,0,36,0.0279,1,1.570796327,12
F,9,2,HP,white,No,1,1,0,0,0,6,0.0058,1,1.570796327,6
H,9,2,C,white,No,1,5,3,0,0,10,0.0041,0.4,0.411516846,5
H,9,2,HP,white,No,1,11,4,2,0,36,0.0369,0.636363636,0.689775001,7.2
F,9,3,C,white,No,2,7,0,2,0,51,0.0476,1,1.570796327,10.2
F,9,3,HP,white,No,1,2,0,0,0,8,0.0096,1,1.570796327,4
H,9,3,C,white,No,1,3,1,0,0,3,0.0034,0.666666667,0.729727656,1.5
H,9,3,HP,white,No,1,6,0,3,0,23,0.02,1,1.570796327,7.666666667
