ID,target_name,Amp Score,Amp Status,Task,Ct,Ct_mean,Ct_sd,Quantity,quantity_mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End
Stock,DWV,1.339,Amp,UNKNOWN,15.935,15.915,0.037,264869.4,268286.7,6474.667,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,11
-7,DWV,1.329,Amp,UNKNOWN,23,23.069,0.099,2732.213,2616.741,164.787,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,18
-5,DWV,1.328,Amp,UNKNOWN,28.025,27.885,0.128,105.606,115.902,9.455,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,23
-3,DWV,1.342,Amp,UNKNOWN,34.685,34.621,0.126,1.417,1.479,0.124,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,30
-7raw,DWV,1.348,Amp,UNKNOWN,13.884,13.842,0.108,999185.5,1028277.25,73233.62,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,9
Stock,DWV,1.332,Amp,UNKNOWN,15.872,15.915,0.037,275754.06,268286.7,6474.667,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,11
-7,DWV,1.341,Amp,UNKNOWN,23.024,23.069,0.099,2689.979,2616.741,164.787,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,18
-5,DWV,1.334,Amp,UNKNOWN,27.855,27.885,0.128,117.903,115.902,9.455,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,23
-3,DWV,1.341,Amp,UNKNOWN,34.476,34.621,0.126,1.622,1.479,0.124,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,30
-7raw,DWV,1.35,Amp,UNKNOWN,13.923,13.842,0.108,974059.7,1028277.25,73233.62,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,9
Stock,DWV,1.34,Amp,UNKNOWN,15.938,15.915,0.037,264236.62,268286.7,6474.667,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,11
-7,DWV,1.33,Amp,UNKNOWN,23.182,23.069,0.099,2428.031,2616.741,164.787,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,18
-5,DWV,1.326,Amp,UNKNOWN,27.775,27.885,0.128,124.196,115.902,9.455,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,23
-3,DWV,1.344,Amp,UNKNOWN,34.704,34.621,0.126,1.4,1.479,0.124,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,30
-7raw,DWV,1.346,Amp,UNKNOWN,13.719,13.842,0.108,1111586.6,1028277.25,73233.62,35.2228,0.993,-3.5567,91.05548,FALSE,0.137,TRUE,3,9
