ID,target_name,amp_score,amp_status,task,Ct,Ct_mean,Ct_sd,quantity,quantity_mean,quantity_sd,intercept,r_squared,slope,efficiency,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,omit,run
P10,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
P11,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
P12,DWV,1.254,Amp,UNKNOWN,34.342,34.891,0.777,1.769,1.319,0.636,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,31,FALSE,
P13,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
P14,DWV,1.129,Amp,UNKNOWN,35.339,36.773,2.029,0.928,0.464,0.656,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,32,FALSE,
P15,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
P4,DWV,1.111,Amp,UNKNOWN,35.506,34.129,1.948,0.832,0.416,0.588,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,33,FALSE,
P5,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,39,TRUE,
P6,DWV,1.253,Amp,UNKNOWN,32.977,32.977,NA,4.279,4.279,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,30,FALSE,
P7,DWV,0.597,No Amp,UNKNOWN,Undetermined,NA,NA,0,NA,-,35.2228,0.993,-3.5567,91.05548,TRUE,0.04,TRUE,3,35,TRUE,
