# Author: P. Alexander Burnham,,,,,,,,,,,
# Date: 26 March 2016,,,,,,,,,,,
#,,,,,,,,,,,
# Data Set: These data are Nosema counts and presence/absence data for 350 2014 Bombus survey bees. Included are %sucrose crop readings, species IDs, Caste IDs, proximity to apis meliffera and host plant.  ,,,,,,,,
# Data Source: These data are my own property ,,,,,,,,,,,
# Funding Source: APLE grant,,,,,,,,,,,
#,,,,,,,,,,,
# Data Collection: Bees were collected during the 2014 field season at 13 different sites in Northern Vermont (for coords see Nosema GIS) Ran vegitation and bee abundance transects, caught bombus and HB were possible. Collected flowering plants and ID'd host plant for captured bombus. Bees were dissected in 2015/2016. Ventriculi were homgenized in GITC buffer (ready for RT-qPCR work in future) and spore counts were done with a hemocytometer (2 counts 1 mean). Percent sucrose in crop was measured where possible (refractometer).,,,,,,,,,,
# Columns: FieldID,"	LabID","	Site (code)","	Caste (ID)"," 	Species (ID)","	Nosema Chamber 1 (count 1)","	Nosema Chamber 2 (count 2)","	NosemaPA (presence absence of parasite (binary))","	NosemaAverage (mean of ch. 1 and ch. 2)"," 	Sucrose (% sucrose in crop)","	Date", HB Proximity(near/far)
# Rows: Data points for all columns in order of lab ID,,,,,,,,,,,
# Missing values: NA ,,,,,,,,,,,
LabID,FieldID,Site,Caste ,Species,Chamber1,Chamber2,NosemaPA,NosemaAverage ,Sucrose,Date,hbPA
68,Robin-12,Robin,Worker,Tern.,1,4,1,2.5,NA,8.2,Near
69,GMC-?-2,GMC,Male,Imp.,0,0,0,0,NA,8.2,Far
70,NORD-17,NORD,Worker,Bor.,0,0,0,0,NA,7.3,Near
71,NORD-18,NORD,Male,Bor.,0,0,0,0,45,7.3,Near
72,OVC-11,OVC,Worker,Tern.,0,0,0,0,NA,8.1,Far
73,GMC-4,GMC,Male,Bimac.,0,0,0,0,NA,8.2,Far
74,OVC-8,OVC,Worker,Tern.,0,0,1,0,NA,8.1,Far
75,NORD-15,NORD,Male,Bor.,0,0,0,0,NA,7.3,Near
76,100-13,100,Worker,Tern.,0,0,0,0,NA,8.22,Near
77,NORD-12,NORD,Worker,Vag.,0,0,0,0,NA,7.3,Near
78,100-19,100,Worker,Imp.,49,85,1,67,NA,8.22,Near
79,NORD-3,NORD,Worker,Imp.,0,0,0,0,48,7.3,Near
80,NORD-14,NORD,Male,Bor.,0,0,0,0,NA,7.3,Near
81,NORD-16,NORD,Worker,Bor.,0,0,0,0,NA,7.3,Near
82,NORD-13,NORD,Worker,Imp.,0,0,0,0,NA,7.3,Near
83,100-3,100,Worker,Imp.,0,0,0,0,NA,8.22,Near
84,GMC-16,GMC,Worker,Tern.,0,0,0,0,NA,8.2,Far
85,100-2,100,Queen ,Bor.,0,0,0,0,NA,6.8,Near
86,100-5,100,Queen ,Tern.,0,0,1,0,NA,6.8,Near
87,100-6,100,Queen ,Imp.,0,0,0,0,NA,6.8,Near
88,PVC-2,PVC,Queen ,Imp.,0,0,0,0,NA,6.7,Far
89,100-1,100,Queen ,Bor.,0,3,1,1.5,68,6.8,Near
90,PVC-3,PVC,Queen ,Imp.,0,0,0,0,NA,6.7,Far
91,100-12,100,Queen ,Imp.,0,0,0,0,NA,6.8,Near
92,PVC-13,PVC,Queen ,Imp.,0,0,0,0,NA,6.7,Far
93,100-15,100,Queen ,Imp.,0,0,0,0,NA,6.8,Near
94,PVC-4,PVC,Queen ,Imp.,0,0,0,0,NA,6.7,Far
95,100-8,100,Queen ,Imp.,0,0,0,0,NA,6.8,Near
96,PVC-6,PVC,Queen ,Tern.,1,5,1,3,67,6.7,Far
97,PVC-10,PVC,Queen ,Tern.,1,1,1,1,NA,6.7,Far
98,GMC-9,GMC,Queen ,Tern.,0,0,0,0,NA,6.5,Far
99,PVC-8,PVC,Queen ,Imp.,0,0,0,0,NA,6.7,Far
100,GMC-3,GMC,Queen ,Vag.,0,0,0,0,NA,6.5,Far
101,100-10,100,Queen ,Imp.,0,0,0,0,NA,6.8,Near
102,PVC-7,PVC,Queen ,Imp.,0,0,0,0,NA,6.7,Far
103,100-4,100,Queen ,Bor.,1,0,1,0.5,NA,6.8,Near
104,GMC-8,GMC,Queen ,Bimac.,0,0,0,0,NA,6.5,Far
105,PVC-9,PVC,Queen ,Tern.,0,0,1,0,NA,6.7,Far
106,GMC-8-2,GMC,Queen ,Imp.,2,0,1,1,24.5,6.5,Far
107,GMC-4,GMC,Queen ,Vag.,0,0,0,0,NA,6.5,Far
108,100-13,100,Queen ,Imp.,0,0,0,0,NA,6.8,Near
109,GMC-1,GMC,Queen ,Imp.,0,0,1,0,NA,6.5,Far
110,GMC-10,GMC,Queen ,Tern.,1,0,1,0.5,NA,6.5,Far
111,GMC-3,GMC,Queen ,Imp.,0,0,0,0,NA,6.5,Far
112,GMC-6,GMC,Queen ,Tern.,0,0,0,0,NA,6.5,Far
113,GMC-2,GMC,Queen ,Vag.,0,0,0,0,NA,6.5,Far
114,PC-7,PC,Queen ,Bimac.,0,0,0,0,NA,8.12,Far
115,PC-1,PC,Queen ,Imp.,0,0,0,0,NA,8.6,Far
116,WWC-13,WWC,Queen ,Bor.,0,0,0,0,NA,6.8,Far
117,PC-6,PC,Queen ,Imp.,0,0,0,0,NA,8.12,Far
118,PC-4,PC,Queen ,Bimac.,0,0,0,0,NA,8.12,Far
119,WWC-9,WWC,Queen ,Tern.,0,0,0,0,NA,6.8,Far
120,PC-5,PC,Queen ,Bimac.,0,0,1,0,NA,8.12,Far
121,WWC-3,WWC,Queen ,Tern.,0,0,0,0,NA,6.8,Far
122,LOW-3,LOW,Queen ,Vag.,0,0,0,0,46,6.8,Far
123,PVC-12,PVC,Queen ,Bimac.,0,0,0,0,NA,6.7,Far
124,PVC-8,PVC,Queen ,Imp.,0,0,0,0,NA,6.7,Far
125,PVC-5,PVC,Queen ,Imp.,0,0,0,0,56,6.7,Far
126,100-9,100,Queen ,Imp.,0,0,0,0,NA,6.8,Near
127,WWC-7,WWC,Queen ,Tern.,0,0,0,0,NA,6.8,Far
128,100-7,100,Queen ,Bimac.,0,0,0,0,NA,6.8,Near
129,100-11,100,Queen ,Imp.,0,0,0,0,NA,6.8,Near
130,PVC-1,PVC,Queen ,Imp.,2,1,1,1.5,46,6.7,Far
131,100-14,100,Queen ,Imp.,0,0,0,0,NA,6.8,Near
132,100-3,100,Queen ,Bor.,1,0,1,0.5,NA,6.8,Near
133,PVC-11,PVC,Worker,Bimac.,0,0,0,0,NA,6.7,Far
134,CBF-?,CBF,Queen ,Imp.,0,0,0,0,NA,6.14,Near
135,DanG-13,DanG,Queen ,Imp.,1,0,1,0.5,47,6.17,Near
136,GMC-6,GMC,Queen ,Imp.,0,4,1,2,NA,6.5,Far
137,CBF-8,CBF,Queen ,Imp.,0,1,1,0.5,NA,6.14,Near
138,CBF-5,CBF,Queen ,Imp.,0,0,1,0,19,6.14,Near
139,CBF-3,CBF,Queen ,Imp.,0,0,0,0,NA,6.14,Near
140,AMY-6,AMY,Queen ,Vag.,0,0,0,0,NA,6.17,Near
141,CBF-6,CBF,Queen ,Imp.,0,0,0,0,NA,6.14,Near
142,CBF-1,CBF,Queen ,Imp.,0,0,0,0,NA,6.14,Near
143,AMY-8,AMY,Queen ,Tern.,0,2,0,1,NA,6.17,Near
144,AMY-7,AMY,Worker,Tern.,0,0,1,0,NA,6.17,Near
145,AMY-9,AMY,Worker,Tern.,0,0,0,0,25,6.17,Near
146,GMC-9,GMC,Queen ,Imp.,3,5,1,4,NA,6.5,Far
147,CBF-7,CBF,Queen ,Imp.,2,10,1,6,NA,6.14,Near
148,GMC-8,GMC,Worker,Bimac.,0,0,0,0,NA,6.5,Far
149,GMC-1,GMC,Queen ,Vag.,0,0,0,0,NA,6.5,Far
150,GMC-9,GMC,Worker,Bimac.,0,0,0,0,55,6.5,Far
151,AMY-10,AMY,Queen ,Vag.,0,0,0,0,NA,6.17,Near
152,CBF-9,CBF,Queen ,Imp.,0,0,0,0,NA,6.14,Near
153,DanG-3,DanG,Queen ,Imp.,0,0,0,0,NA,6.17,Near
154,AMY-3,AMY,Worker,Tern.,0,0,0,0,NA,6.17,Near
155,AMY-2,AMY,Queen ,Tern.,0,0,0,0,NA,6.17,Near
156,AMY-4,AMY,Queen ,Vag.,0,0,0,0,NA,6.17,Near
157,GMC-5,GMC,Queen ,Tern.,0,0,0,0,NA,6.5,Far
158,DanG-12,DanG,Queen ,Imp.,0,0,0,0,39,6.17,Near
159,DanG-11,DanG,Queen ,Imp.,0,0,0,0,NA,6.17,Near
160,GMC-4,GMC,Queen ,Bimac.,0,0,0,0,32,6.5,Far
161,PEL-4,PEL,Queen ,Imp.,0,0,0,0,NA,6.11,Near
162,LOW-1,LOW,Queen ,Vag.,0,0,0,0,NA,6.8,Far
163,LOW-10,LOW,Queen ,Tern.,0,0,1,0,29,6.8,Far
164,PEL-6,PEL,Queen ,Imp.,0,0,0,0,35,6.11,Near
165,LOW-13,LOW,Queen ,Bor.,0,0,0,0,NA,6.8,Far
166,LOW-4,LOW,Queen ,Bor.,0,0,0,0,NA,6.8,Far
167,LOW-8,LOW,Queen ,Tern.,0,0,0,0,NA,6.8,Far
168,LOW-3,LOW,Queen ,Gris. ,58,67,1,62.5,51,6.8,Far
169,LOW-6,LOW,Queen ,Vag.,0,0,0,0,NA,6.8,Far
170,LOW-7,LOW,Worker,Tern.,0,0,0,0,NA,6.8,Far
171,LOW-12,LOW,Queen ,Tern.,0,0,0,0,NA,6.8,Far
172,LOW-5,LOW,Queen ,Vag.,0,0,0,0,NA,6.8,Far
173,LOW-11,LOW,Queen ,Vag.,0,0,0,0,40,6.8,Far
174,PEL-9,PEL,Queen ,Bimac.,0,0,0,0,NA,6.11,Near
175,LOW-9,LOW,Queen ,Vag.,0,0,0,0,NA,6.8,Far
176,PEL-3,PEL,Queen ,Imp.,0,0,0,0,25,6.11,Near
177,LOW-2,LOW,Queen ,Gris. ,0,0,0,0,53,6.8,Far
178,PEL-7,PEL,Queen ,Imp.,0,0,0,0,NA,6.11,Near
179,PEL-10,PEL,Queen ,Imp.,0,0,0,0,NA,6.11,Near
180,AMY-1,AMY,Worker,Tern.,0,0,0,0,40,6.17,Near
181,GMC-7,GMC,Queen ,Imp.,0,0,0,0,NA,6.5,Far
182,AMY-5,AMY,Queen ,Imp.,0,0,0,0,NA,6.17,Near
183,PEL-5,PEL,Queen ,Imp.,0,0,0,0,NA,6.11,Near
184,PEL-1,PEL,Queen ,Imp.,0,0,0,0,NA,6.11,Near
185,CBF-4,CBF,Queen ,Imp.,1,0,1,0.5,NA,6.14,Near
186,CBF-2,CBF,Queen ,Imp.,0,0,0,0,NA,6.14,Near
187,LOW-14,LOW,Queen ,Tern.,0,0,0,0,35,6.8,Far
188,LIB-2,LIB,Worker,Vag.,0,0,0,0,NA,6.27,Near
189,LIB-6,LIB,Worker,Tern.,0,0,0,0,NA,6.27,Near
190,LIB-10,LIB,Worker,Vag.,0,0,0,0,NA,6.27,Near
191,LIB-7,LIB,Worker,Imp.,0,0,0,0,31,6.27,Near
192,LIB-9,LIB,Worker,Vag.,0,0,0,0,NA,6.27,Near
193,LIB-5,LIB,Worker,Imp.,0,0,1,0,NA,6.27,Near
194,LIB-8,LIB,Worker,Imp.,0,0,0,0,NA,6.27,Near
195,LIB-1,LIB,Worker,Vag.,0,0,0,0,25,6.27,Near
196,LIB-3,LIB,Worker,Vag.,0,0,0,0,30,6.27,Near
197,LIB-4,LIB,Worker,Vag.,0,0,0,0,NA,6.27,Near
198,OVC-9,OVC,Queen ,Imp.,1,2,1,1.5,NA,6.4,Far
199,OVC-4,OVC,Queen ,Imp.,0,0,0,0,NA,6.4,Far
200,OVC-11,OVC,Queen ,Bimac.,6,4,1,5,NA,6.4,Far
201,OVC-5,OVC,Queen ,Bimac.,0,0,0,0,NA,6.4,Far
202,OVC-1,OVC,Queen ,Vag.,0,0,0,0,NA,6.4,Far
203,OVC-13,OVC,Queen ,Tern.,0,0,0,0,NA,6.4,Far
204,OVC-10,OVC,Queen ,Imp.,0,0,0,0,NA,6.4,Far
205,OVC-7,OVC,Queen ,Vag.,16,2,1,9,Re-do count,6.4,Far
