Well,ID,target_name,Amp Score,Cq,Cq_mean,Cq_sd,Quantity,quantity_mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Threshold,Baseline End
F1,103,DWV,1.324,24.139,24.193,0.077,1307.395,1262.969,62.828,35.2228,0.993,-3.5567,91.05548,0.137,19
F12,103,ACTIN,1.443,16.116,16.116,NA,508378.06,508378.06,NA,36.5667,0.9988,-3.584,90.11565,0.267,10
G1,26,ACTIN,1.422,16.488,16.488,NA,400154.1,400154.1,NA,36.5667,0.9988,-3.584,90.11565,0.267,11
G2,30,ACTIN,1.428,16.787,16.787,NA,330352.56,330352.56,NA,36.5667,0.9988,-3.584,90.11565,0.267,11
G3,31,ACTIN,1.434,16.139,16.139,NA,500835.62,500835.62,NA,36.5667,0.9988,-3.584,90.11565,0.267,10
G4,34,ACTIN,1.44,16,16,NA,547543.44,547543.44,NA,36.5667,0.9988,-3.584,90.11565,0.267,10
G5,35,ACTIN,1.426,16.924,16.924,NA,302416.56,302416.56,NA,36.5667,0.9988,-3.584,90.11565,0.267,11
G6,36,ACTIN,1.424,17.643,17.643,NA,190580.06,190580.06,NA,36.5667,0.9988,-3.584,90.11565,0.267,12
G7,41,ACTIN,1.433,16.133,16.133,NA,502746.72,502746.72,NA,36.5667,0.9988,-3.584,90.11565,0.267,10
G8,43,ACTIN,1.434,16.656,16.656,NA,359342.34,359342.34,NA,36.5667,0.9988,-3.584,90.11565,0.267,11
G9,44,ACTIN,1.414,16.848,16.848,NA,317549.97,317549.97,NA,36.5667,0.9988,-3.584,90.11565,0.267,11
G10,47,ACTIN,1.428,16.017,16.017,NA,541526.7,541526.7,NA,36.5667,0.9988,-3.584,90.11565,0.267,10
G11,48,ACTIN,1.417,16.117,16.117,NA,507897.38,507897.38,NA,36.5667,0.9988,-3.584,90.11565,0.267,10
G12,51,ACTIN,1.434,15.897,15.897,NA,585150.7,585150.7,NA,36.5667,0.9988,-3.584,90.11565,0.267,10
H1,52,ACTIN,1.147,17.556,17.556,NA,201461.88,201461.88,NA,36.5667,0.9988,-3.584,90.11565,0.267,11
H2,54,ACTIN,1.426,17.482,17.482,NA,211401.06,211401.06,NA,36.5667,0.9988,-3.584,90.11565,0.267,11
H3,57,ACTIN,1.419,16.735,16.735,NA,341404.28,341404.28,NA,36.5667,0.9988,-3.584,90.11565,0.267,11
H4,60,ACTIN,1.434,16.642,16.642,NA,362630.34,362630.34,NA,36.5667,0.9988,-3.584,90.11565,0.267,11
H5,62,ACTIN,1.434,17.102,17.102,NA,269753.88,269753.88,NA,36.5667,0.9988,-3.584,90.11565,0.267,11
H6,80,ACTIN,1.439,16.208,16.208,NA,478962.94,478962.94,NA,36.5667,0.9988,-3.584,90.11565,0.267,10
H7,81,ACTIN,1.439,17.02,17.02,NA,284430.84,284430.84,NA,36.5667,0.9988,-3.584,90.11565,0.267,11
H8,86,ACTIN,1.446,16.113,16.113,NA,509134.9,509134.9,NA,36.5667,0.9988,-3.584,90.11565,0.267,10
H9,89,ACTIN,1.433,16.066,16.066,NA,524980.7,524980.7,NA,36.5667,0.9988,-3.584,90.11565,0.267,10
H10,95,ACTIN,1.428,16.587,16.587,NA,375565,375565,NA,36.5667,0.9988,-3.584,90.11565,0.267,11
H11,97,ACTIN,1.437,15.838,15.838,NA,607506.94,607506.94,NA,36.5667,0.9988,-3.584,90.11565,0.267,10
H12,98,ACTIN,1.42,16.634,16.634,NA,364406.34,364406.34,NA,36.5667,0.9988,-3.584,90.11565,0.267,11
A1,1,DWV,1.341,26.096,26.265,0.238,368.167,332.086,51.026,35.2228,0.993,-3.5567,91.05548,0.137,21
A2,2,DWV,1.307,25.992,25.99,0.002,393.895,394.328,0.613,35.2228,0.993,-3.5567,91.05548,0.137,21
B1,1,DWV,1.339,26.433,26.265,0.238,296.006,332.086,51.026,35.2228,0.993,-3.5567,91.05548,0.137,21
B2,2,DWV,1.344,25.988,25.99,0.002,394.762,394.328,0.613,35.2228,0.993,-3.5567,91.05548,0.137,21
C1,1,ACTIN,1.462,16.674,16.645,0.041,355256.1,361934.88,9445.246,36.5667,0.9988,-3.584,90.11565,0.267,11
C2,2,ACTIN,1.457,16.585,16.556,0.042,375982.66,383254.88,10284.463,36.5667,0.9988,-3.584,90.11565,0.267,11
D1,1,ACTIN,1.456,16.616,16.645,0.041,368613.7,361934.88,9445.246,36.5667,0.9988,-3.584,90.11565,0.267,11
D2,2,ACTIN,1.459,16.526,16.556,0.042,390527.1,383254.88,10284.463,36.5667,0.9988,-3.584,90.11565,0.267,11
A1,1,DWV,0,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,0.137,39
A2,2,DWV,1.327,30.348,30.422,0.105,23.475,22.396,1.525,35.2228,0.993,-3.5567,91.05548,0.137,25
A3,3,DWV,0,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,0.137,39
A4,4,DWV,1.323,24.6,24.712,0.158,969.895,904.399,92.626,35.2228,0.993,-3.5567,91.05548,0.137,19
A5,5,DWV,1.339,30.962,31.305,0.485,15.77,12.944,3.997,35.2228,0.993,-3.5567,91.05548,0.137,26
A6,6,DWV,0,Undetermined,34.598,NA,1.53E+10,1.498,NA,35.2228,0.993,-3.5567,91.05548,0.137,39
A7,7,DWV,1.331,35.362,34.965,0.561,0.914,1.221,0.434,35.2228,0.993,-3.5567,91.05548,0.137,30
A8,8,DWV,1.337,29.825,29.835,0.015,32.944,32.719,0.318,35.2228,0.993,-3.5567,91.05548,0.137,25
A9,9,DWV,0,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,0.137,39
A10,10,DWV,0,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,0.137,39
A11,11,DWV,1.338,31.677,31.449,0.322,9.93,11.632,2.406,35.2228,0.993,-3.5567,91.05548,0.137,27
A12,12,DWV,1.332,27.668,27.731,0.089,133.062,127.877,7.333,35.2228,0.993,-3.5567,91.05548,0.137,23
B1,1,DWV,0.69,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,0.137,16
B2,2,DWV,1.326,30.497,30.422,0.105,21.318,22.396,1.525,35.2228,0.993,-3.5567,91.05548,0.137,25
B3,3,DWV,0,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,0.137,39
B4,4,DWV,1.269,24.824,24.712,0.158,838.902,904.399,92.626,35.2228,0.993,-3.5567,91.05548,0.137,20
B5,5,DWV,1.331,31.648,31.305,0.485,10.118,12.944,3.997,35.2228,0.993,-3.5567,91.05548,0.137,26
B6,6,DWV,1.343,34.598,34.598,NA,1.498,1.498,NA,35.2228,0.993,-3.5567,91.05548,0.137,29
B7,7,DWV,1.322,34.569,34.965,0.561,1.527,1.221,0.434,35.2228,0.993,-3.5567,91.05548,0.137,29
B8,8,DWV,1.342,29.846,29.835,0.015,32.494,32.719,0.318,35.2228,0.993,-3.5567,91.05548,0.137,25
B9,9,DWV,0.58,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,0.137,35
B10,10,DWV,0,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,0.137,39
B11,11,DWV,1.325,31.222,31.449,0.322,13.333,11.632,2.406,35.2228,0.993,-3.5567,91.05548,0.137,26
B12,12,DWV,1.331,27.794,27.731,0.089,122.692,127.877,7.333,35.2228,0.993,-3.5567,91.05548,0.137,23
C1,1,ACTIN,1.446,15.323,15.281,0.059,846027.44,869261.75,32858.28,36.5667,0.9988,-3.584,90.11565,0.267,9
C2,2,ACTIN,1.45,15.194,15.142,0.074,918984,951013.2,45296.1,36.5667,0.9988,-3.584,90.11565,0.267,9
C3,3,ACTIN,1.456,15.717,15.701,0.022,656852.94,663530.44,9443.382,36.5667,0.9988,-3.584,90.11565,0.267,10
