ID,Colony ,Treatment ,Time,Exp,DateInnoc,DateFed,ColonyID,rounds of flowers,#bees taken,DateMicroMade,NumBeesAfTrans,DateMicroTrans,DateSacrificed,notes
86,2,3,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,2,3,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,3,3,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,3,3,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,3,3,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,2,3,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,1,5,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,1,5,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,1,5,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,2,5,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,2,5,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,3,5,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,3,5,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,4,5,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,1,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,1,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,1,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,1,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,2,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,2,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,2,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,3,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,3,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,3,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,4,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,4,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,1,1,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,1,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,3,1,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304,2,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305,2,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
306,4,1,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
307,4,1,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,3,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,3,1,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,1,1,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,4,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,2,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,1,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
147,1,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
148,1,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
149,1,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
150,1,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
151,1,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
152,2,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
153,2,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
154,2,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
155,2,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
156,3,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
157,1,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
158,2,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
159,2,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
160,1,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
161,1,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
162,1,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
163,2,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
164,1,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
167,2,HIT,NA,Trans,NA,NA,5,1,2,30-Aug,7,1-Sep,3-Sep,2 bees left on 9/3sacrificed then
168,2,HIT,NA,Trans,NA,NA,5,1,2,30-Aug,7,1-Sep,3-Sep,2 bees left on 9/3sacrificed then
169,3,HBT,NA,Trans,NA,NA,9,1,2,30-Aug,5,1-Sep,3-Sep,2 bees left on 9/3sacrificed then
170,3,HBT,NA,Trans,NA,NA,9,1,2,30-Aug,5,1-Sep,3-Sep,2 bees left on 9/3sacrificed then
171,2,C,NA,Trans,NA,NA,2,NA,3,30-Aug,8,1-Sep,5-Sep,
172,2,C,NA,Trans,NA,NA,2,NA,3,30-Aug,8,1-Sep,5-Sep,
173,2,C,NA,Trans,NA,NA,2,NA,3,30-Aug,8,1-Sep,5-Sep,
174,3,C,NA,Trans,NA,NA,3,NA,4,30-Aug,6,1-Sep,5-Sep,
175,3,C,NA,Trans,NA,NA,3,NA,4,30-Aug,6,1-Sep,5-Sep,
176,3,C,NA,Trans,NA,NA,3,NA,4,30-Aug,6,1-Sep,5-Sep,
177,3,C,NA,Trans,NA,NA,3,NA,4,30-Aug,6,1-Sep,5-Sep,
178,1,C,NA,Trans,NA,NA,1,NA,8,30-Aug,8,1-Sep,5-Sep,escape
