Well,ID,target_name,Amp Score,Amp Status,Task,Cq,Cq_mean,Cq Standard Deviation,Quantity,quantity_mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Omit,Plate
H1,4.2,ACTIN,1.326,Amp,UNKNOWN,33.626,34.298,0.951,6.615,4.702,2.706,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,30,FALSE,40
A6,4.3,DWV,1.256,Amp,UNKNOWN,25.493,25.74,0.349,543.938,469.581,105.157,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,22,FALSE,40
B6,4.3,DWV,1.2,Amp,UNKNOWN,25.987,25.74,0.349,395.224,469.581,105.157,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,23,FALSE,40
E6,4.3,ACTIN,1.313,Amp,UNKNOWN,34.784,33.041,2.465,3.144,16.336,18.656,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,31,FALSE,40
F6,4.3,ACTIN,1.38,Amp,UNKNOWN,31.297,33.041,2.465,29.527,16.336,18.656,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,27,FALSE,40
C7,5.1,DWV,1.054,Amp,UNKNOWN,26.886,24.687,3.11,220.829,2013.909,2535.798,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,23,FALSE,40
D7,5.1,DWV,1.089,Amp,UNKNOWN,22.488,24.687,3.11,3806.989,2013.909,2535.798,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,19,FALSE,40
G7,5.1,ACTIN,0,No Amp,UNKNOWN,Undetermined,NA,NA,3.03E+10,NA,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,39,FALSE,40
H7,5.1,ACTIN,0.405,No Amp,UNKNOWN,Undetermined,NA,NA,3.03E+10,NA,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,39,FALSE,40
C9,6.1,DWV,1.25,Amp,UNKNOWN,24.67,24.673,0.004,926.831,925.312,2.149,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,21,FALSE,40
D9,6.1,DWV,1.262,Amp,UNKNOWN,24.675,24.673,0.004,923.792,925.312,2.149,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,21,FALSE,40
G9,6.1,ACTIN,1.363,Amp,UNKNOWN,31.571,31.091,0.678,24.768,35.322,14.926,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,28,FALSE,40
H9,6.1,ACTIN,1.384,Amp,UNKNOWN,30.612,31.091,0.678,45.876,35.322,14.926,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,27,FALSE,40
A9,6.2,DWV,1.085,Amp,UNKNOWN,26.472,26.999,0.745,288.704,217.331,100.938,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,23,FALSE,40
B9,6.2,DWV,0.868,Amp,UNKNOWN,27.525,26.999,0.745,145.957,217.331,100.938,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,24,FALSE,40
E9,6.2,ACTIN,1.276,Amp,UNKNOWN,33.326,33.645,0.452,8.023,6.672,1.91,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,29,FALSE,40
F9,6.2,ACTIN,1.301,Amp,UNKNOWN,33.965,33.645,0.452,5.321,6.672,1.91,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,30,FALSE,40
A11,6.3,DWV,1.075,Amp,UNKNOWN,25.97,27.87,2.687,399.405,216.765,258.292,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,23,FALSE,40
B11,6.3,DWV,0.506,No Amp,UNKNOWN,29.77,27.87,2.687,34.124,216.765,258.292,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,25,FALSE,40
E11,6.3,ACTIN,0.965,No Amp,UNKNOWN,36.842,35.898,1.334,0.838,1.827,1.399,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,33,FALSE,40
F11,6.3,ACTIN,0.928,Amp,UNKNOWN,34.955,35.898,1.334,2.817,1.827,1.399,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,31,FALSE,40
C4,7.1,DWV,0,No Amp,UNKNOWN,Undetermined,38.004,NA,1.53E+10,0.165,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,39,FALSE,40
D4,7.1,DWV,0.688,No Amp,UNKNOWN,38.004,38.004,NA,0.165,0.165,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,34,FALSE,40
G4,7.1,ACTIN,1.266,Amp,UNKNOWN,31.303,31.303,NA,29.425,29.425,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,27,FALSE,40
H4,7.1,ACTIN,0,No Amp,UNKNOWN,Undetermined,31.303,NA,3.03E+10,29.425,NA,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,39,FALSE,40
C5,7.2,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,39,FALSE,40
D5,7.2,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,39,FALSE,40
G5,7.2,ACTIN,1.369,Amp,UNKNOWN,32.146,30.356,2.531,17.122,93.895,108.574,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,28,FALSE,40
H5,7.2,ACTIN,1.338,Amp,UNKNOWN,28.567,30.356,2.531,170.669,93.895,108.574,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,25,FALSE,40
A7,7.3,DWV,1.041,Amp,UNKNOWN,33.713,33.605,0.153,2.658,2.857,0.282,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,30,FALSE,40
B7,7.3,DWV,0.87,Amp,UNKNOWN,33.497,33.605,0.153,3.057,2.857,0.282,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,30,FALSE,40
E7,7.3,ACTIN,1.29,Amp,UNKNOWN,33.091,33.248,0.222,9.328,8.476,1.205,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,29,FALSE,40
F7,7.3,ACTIN,1.333,Amp,UNKNOWN,33.405,33.248,0.222,7.624,8.476,1.205,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,29,FALSE,40
A12,8.1,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,39,FALSE,40
B12,8.1,DWV,0,No Amp,UNKNOWN,Undetermined,NA,NA,1.53E+10,NA,NA,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,39,FALSE,40
E12,8.1,ACTIN,1.32,Amp,UNKNOWN,33.649,33.253,0.559,6.52,8.678,3.053,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,30,FALSE,40
F12,8.1,ACTIN,1.351,Amp,UNKNOWN,32.858,33.253,0.559,10.837,8.678,3.053,36.5667,0.9988,-3.584,90.11565,TRUE,0.066,TRUE,3,29,FALSE,40
C3,8.2,DWV,1.229,Amp,UNKNOWN,32.131,33.301,1.655,7.402,4.515,4.084,35.2228,0.993,-3.5567,91.05548,TRUE,0.044,TRUE,3,29,FALSE,40
