ID,Cq_mean,target_name,quantity_mean,Plate,ng.ul,dil.factor,genomeCopy,ACT_genomeCopy,PresentAbs,NormGenomeCopy,Colony,Treatment,Time,Exp,DateInnoc,DateFed,ColonyID,rounds.of.flowers,X.bees.taken,DateMicroMade,NumBeesAfTrans,DateMicroTrans,DateSacrificed,notes
114,25.321,DWV,627.984,41,95.72,4.8,753580.8,25998700.8,1,19512545.7,2,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,23.249,DWV,2329.442,41,41.76,2.1,1222957.05,25013.625,1,32913216366,1,10,NA,Dose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,32.333,DWV,7.853,36,85.76,4.3,8441.975,2236025800,1,2541.575445,2,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
162,32.075,DWV,8.195,36,108.01,5.4,11063.25,2684652525,1,2774.152926,1,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
154,30.069,DWV,39.873,36,173.97,8.7,86723.775,4837799865,1,12067.74238,2,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
155,29.545,DWV,40.127,37,52.44,2.6,26082.55,396642740,1,44267.63226,2,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
163,29.746,DWV,34.678,37,29.3,1.5,13004.25,158986968.8,1,55062.95764,2,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
147,28.463,DWV,79.94,37,34.9,1.7,33974.5,152865581,1,149616.3712,1,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
148,28.088,DWV,101.409,37,53.71,2.7,68451.075,307325475,1,149939.986,1,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
149,27.226,DWV,204.973,37,45.31,2.3,117859.475,232765244,1,340864.7752,1,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
161,26.36,DWV,312.85,37,56.14,2.8,218995,357527688,1,412344.5638,1,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
151,25.618,DWV,512.963,37,45.02,2.3,294953.725,326244477.5,1,608620.352,1,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
152,NA,DWV,NA,38,75.07,3.8,0,68924561.5,0,0,2,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
150,37.172,DWV,0.284,38,54.06,2.7,191.7,3126462.3,1,41276.6717,1,Bee,15,Reverse,30-Aug,3-Sep,NA,NA,NA,NA,NA,NA,NA,NA
173,NA,DWV,NA,35,87.9,4.4,0,1376946120,0,0,2,C,NA,Trans,NA,NA,2,NA,3,30-Aug,8,1-Sep,5-Sep,
176,NA,DWV,NA,35,51.93,2.6,0,972520120,0,0,3,C,NA,Trans,NA,NA,3,NA,4,30-Aug,6,1-Sep,5-Sep,
181,NA,DWV,NA,35,93.38,4.7,0,1849546115,0,0,1,C,NA,Trans,NA,NA,1,NA,8,30-Aug,8,1-Sep,5-Sep,escape
182,NA,DWV,NA,35,103.91,5.2,0,1228121050,0,0,1,C,NA,Trans,NA,NA,1,NA,8,30-Aug,8,1-Sep,5-Sep,
183,NA,DWV,NA,35,101.59,5.1,0,1539619875,0,0,1,C,NA,Trans,NA,NA,1,NA,8,30-Aug,8,1-Sep,5-Sep,
185,NA,DWV,NA,35,84.25,4.2,0,1318229745,0,0,1,C,NA,Trans,NA,NA,1,NA,8,30-Aug,8,1-Sep,5-Sep,
211,NA,DWV,NA,35,85.79,4.3,0,1552295055,0,0,2,C,NA,Trans,NA,NA,11,NA,1,9/3/18,7,7-Sep,11-Sep,
214,NA,DWV,NA,35,80.66,4,0,1103810400,0,0,1,C,NA,Trans,NA,NA,10,NA,4,9/3/18,10,7-Sep,11-Sep,
215,NA,DWV,NA,35,109.87,5.5,0,2559678275,0,0,1,C,NA,Trans,NA,NA,10,NA,4,9/3/18,10,7-Sep,11-Sep,
175,37.931,DWV,0.173,35,119.71,6,259.5,1874987100,0,93.16972906,3,C,NA,Trans,NA,NA,3,NA,4,30-Aug,6,1-Sep,5-Sep,
171,34.346,DWV,1.764,35,139.87,7,3087,2464596925,0,843.1920083,2,C,NA,Trans,NA,NA,2,NA,3,30-Aug,8,1-Sep,5-Sep,
174,34.014,DWV,2.186,35,145.88,7.3,3989.45,2742338805,0,979.3268729,3,C,NA,Trans,NA,NA,3,NA,4,30-Aug,6,1-Sep,5-Sep,
213,NA,DWV,NA,36,24.42,1.2,0,11373.6,0,0,1,C,NA,Trans,NA,NA,10,NA,4,9/3/18,10,7-Sep,11-Sep,
177,NA,DWV,NA,37,94.51,4.7,0,976543968.8,0,0,3,C,NA,Trans,NA,NA,3,NA,4,30-Aug,6,1-Sep,5-Sep,
179,NA,DWV,NA,37,66.56,3.3,0,532502643.8,0,0,1,C,NA,Trans,NA,NA,1,NA,8,30-Aug,8,1-Sep,5-Sep,
180,NA,DWV,NA,37,49.39,2.5,0,323594531.3,0,0,1,C,NA,Trans,NA,NA,1,NA,8,30-Aug,8,1-Sep,5-Sep,
2,NA,DWV,NA,38,126.55,6.3,0,7588524.825,0,0,4,C,17,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,DWV,NA,38,35.13,1.8,0,392736.15,0,0,1,C,120,Pickup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,NA,DWV,NA,38,59.65,3,0,2247032.25,0,0,1,C,NA,Trans,NA,NA,1,NA,8,30-Aug,8,1-Sep,5-Sep,
