Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
29	Default	5/7/2018	1:55 PM	229.87	5.747	2.711	2.12	1.68	40.00	230	3.414	0.026
30	Default	5/7/2018	1:56 PM	293.73	7.343	3.539	2.08	1.56	40.00	230	4.707	0.108
31	Default	5/7/2018	1:57 PM	269.89	6.747	3.186	2.12	2.07	40.00	230	3.255	0.001
32	Default	5/7/2018	1:57 PM	61.49	1.537	0.743	2.07	0.85	40.00	230	1.818	0.002
32	Default	5/7/2018	1:58 PM	60.98	1.525	0.749	2.03	0.84	40.00	230	1.811	0.027
33	Default	5/7/2018	1:59 PM	178.54	4.463	2.138	2.09	1.77	40.00	230	2.524	1.079
34	Default	5/7/2018	2:00 PM	277.60	6.940	3.302	2.10	1.49	40.00	230	4.673	0.256
35	Default	5/7/2018	2:00 PM	261.70	6.543	3.072	2.13	1.82	40.00	230	3.590	-0.014
36	Default	5/7/2018	2:01 PM	162.28	4.057	1.922	2.11	1.34	40.00	230	3.029	-0.008
37	Default	5/7/2018	2:02 PM	153.87	3.847	1.837	2.09	1.62	40.00	230	2.376	0.043
38	Default	5/7/2018	2:02 PM	122.13	3.053	1.443	2.12	1.78	40.00	230	1.714	0.003
39	Default	5/7/2018	2:03 PM	172.04	4.301	2.029	2.12	1.38	40.00	230	3.107	-0.002
40	Default	5/7/2018	2:04 PM	246.41	6.160	2.899	2.13	2.23	40.00	230	2.766	0.001
41	Default	5/7/2018	2:04 PM	296.89	7.422	3.507	2.12	1.98	40.00	230	3.748	-0.009
42	Default	5/7/2018	2:05 PM	32.95	0.824	0.429	1.92	0.78	40.00	230	1.063	0.042
43	Default	5/7/2018	2:06 PM	197.26	4.931	2.315	2.13	1.93	40.00	230	2.554	0.025
44	Default	5/7/2018	2:06 PM	157.94	3.949	1.848	2.14	1.38	40.00	230	2.863	0.013
45	Default	5/7/2018	2:07 PM	193.21	4.830	2.266	2.13	2.09	40.00	230	2.309	-0.027
46	Default	5/7/2018	2:07 PM	191.02	4.776	2.231	2.14	2.02	40.00	230	2.360	0.013
47	Default	5/7/2018	2:08 PM	139.42	3.486	1.657	2.10	1.89	40.00	230	1.846	-0.024
48	Default	5/7/2018	2:09 PM	105.71	2.643	1.284	2.06	1.09	40.00	230	2.428	0.054
49	Default	5/7/2018	2:09 PM	124.87	3.122	1.492	2.09	1.63	40.00	230	1.914	0.055
50	Default	5/7/2018	2:10 PM	117.84	2.946	1.389	2.12	1.63	40.00	230	1.810	0.007
51	Default	5/7/2018	2:10 PM	255.07	6.377	3.003	2.12	2.07	40.00	230	3.079	0.113
52	Default	5/7/2018	2:11 PM	109.88	2.747	1.300	2.11	1.80	40.00	230	1.526	-0.007
53	Default	5/7/2018	2:12 PM	77.68	1.942	0.972	2.00	1.05	40.00	230	1.854	0.089
54	Default	5/7/2018	2:12 PM	165.50	4.137	1.964	2.11	1.91	40.00	230	2.168	-0.014
55	Default	5/7/2018	2:13 PM	162.68	4.067	1.904	2.14	2.00	40.00	230	2.032	-0.012
56	Default	5/7/2018	2:13 PM	166.87	4.172	1.988	2.10	1.83	40.00	230	2.279	0.043
57	Default	5/7/2018	2:14 PM	227.65	5.691	2.646	2.15	2.03	40.00	230	2.805	0.145
58	Default	5/7/2018	2:14 PM	234.64	5.866	2.782	2.11	1.32	40.00	230	4.441	0.052
59	Default	5/7/2018	2:15 PM	202.36	5.059	2.319	2.18	1.97	40.00	230	2.573	0.076
60	Default	5/7/2018	2:16 PM	215.81	5.395	2.552	2.11	1.83	40.00	230	2.949	0.093
61	Default	5/7/2018	2:16 PM	67.01	1.675	0.798	2.10	0.56	40.00	230	2.999	-0.013
62	Default	5/7/2018	2:17 PM	73.82	1.846	0.872	2.12	1.01	40.00	230	1.827	-0.005
63	Default	5/7/2018	2:17 PM	85.18	2.130	1.000	2.13	1.21	40.00	230	1.753	-0.004
64	Default	5/7/2018	2:18 PM	136.60	3.415	1.606	2.13	2.00	40.00	230	1.709	0.031
65	Default	5/7/2018	2:18 PM	105.26	2.631	1.257	2.09	2.00	40.00	230	1.318	-0.015
66	Default	5/7/2018	2:19 PM	117.24	2.931	1.379	2.13	1.35	40.00	230	2.172	0.002
67	Default	5/7/2018	2:19 PM	260.94	6.524	3.073	2.12	2.23	40.00	230	2.928	-0.045
68	Default	5/7/2018	2:20 PM	178.14	4.454	2.088	2.13	2.03	40.00	230	2.192	-0.022
69	Default	5/7/2018	2:20 PM	199.41	4.985	2.363	2.11	1.78	40.00	230	2.794	-0.008
70	Default	5/7/2018	2:21 PM	200.17	5.004	2.348	2.13	2.10	40.00	230	2.388	0.003
71	Default	5/7/2018	2:21 PM	85.12	2.128	1.008	2.11	1.85	40.00	230	1.148	0.003
72	Default	5/7/2018	2:22 PM	65.77	1.644	0.782	2.10	1.19	40.00	230	1.378	-0.023
73	Default	5/7/2018	2:22 PM	231.04	5.776	2.725	2.12	0.91	40.00	230	6.313	0.001
74	Default	5/7/2018	2:23 PM	188.27	4.707	2.240	2.10	1.44	40.00	230	3.274	-0.024
75	Default	5/7/2018	2:24 PM	148.74	3.718	1.759	2.11	1.58	40.00	230	2.348	-0.012
76	Default	5/7/2018	2:24 PM	179.97	4.499	2.103	2.14	1.31	40.00	230	3.443	-0.002
77	Default	5/7/2018	2:25 PM	321.81	8.045	3.781	2.13	2.07	40.00	230	3.888	-0.016
78	Default	5/7/2018	2:25 PM	180.70	4.518	2.124	2.13	1.57	40.00	230	2.868	0.068
79	Default	5/7/2018	2:26 PM	404.27	10.107	4.795	2.11	2.12	40.00	230	4.757	-0.040
80	Default	5/7/2018	2:26 PM	392.76	9.819	4.661	2.11	1.92	40.00	230	5.123	0.000
C	Default	5/7/2018	2:27 PM	4.63	0.116	0.075	1.54	0.24	40.00	230	0.488	0.076
