ID,ng_ul ,finalVol,dil.factor
308,337.25,84.3,16.9
309,26.91,47.1,1.3
310,53,53,2.7
311,404.53,101.1,20.2
312,162.47,40.6,8.1
313,382.01,95.5,19.1
314,466.74,116.7,23.3
315,572.56,143.1,28.6
316,385.61,96.4,19.3
317,294,73.5,14.7
318,467.99,117,23.4
319,356.95,89.2,17.8
321,312.1,78,15.6
324,28.7,43.1,1.4
325,56.99,42.7,2.8
327,304.79,76.2,15.2
328,121.41,60.7,6.1
330,27,40.5,1.4
331,50.43,50.4,2.5
332,319.38,79.8,16
333,27.64,41.5,1.4
334,58.9,44.2,2.9
335,43.62,43.6,2.2
336,308.13,77,15.4
337,147.38,73.7,7.4
338,352.3,88.1,17.6
339,91.08,45.5,4.6
340,261.22,65.3,13.1
341,224.79,56.2,11.2
342,345.35,86.3,17.3
343,23.19,46.4,1.2
344,368.72,92.2,18.4
345,286.98,71.7,14.3
346,349.52,87.4,17.5
347,289.99,72.5,14.5
348,355.15,88.8,17.8
349,222.06,55.5,11.1
350,276.15,69,13.8
351,45.21,45.2,2.3
352,222.63,55.7,11.1
353,141.72,70.9,7.1
355,176.46,44.1,8.8
356,400.82,100.2,20
357,329.88,82.5,16.5
358,198.04,49.5,9.9
359,83.69,41.8,4.2
360,231.83,58,11.6
361,28.45,42.7,1.4
362,299.71,74.9,15
363,285.13,71.3,14.3
364,308.84,77.2,15.4
366,352.56,88.1,17.6
368,328.47,82.1,16.4
369,385.53,96.4,19.3
370,435.36,108.8,21.8
371,381.87,95.5,19.1
372,24.41,42.7,1.2
373,35.62,44.5,1.8
374,369.95,92.5,18.5
376,51.32,51.3,2.6
377,22.58,45.2,1.1
379,362.76,90.7,18.1
380,372.32,93.1,18.6
381,26.2,52.4,1.3
383,473.01,118.3,23.7
384,410.93,102.7,20.5
385,368.51,92.1,18.4
386,351.7,87.9,17.6
387,136.97,68.5,6.8
389,448.24,112.1,22.4
390,418.96,104.7,20.9
391,48.65,48.7,2.4
392,338.45,84.6,16.9
393,54.42,54.4,2.7
394,398.28,99.6,19.9
395,379.69,94.9,19
396,341.18,85.3,17.1
