FieldID,Site,Date,BombusSpp,Host_Plant,Caste,Notes,1HR_sample,sampling_event
14,CIND,9/10,imp,KW,worker,,no,4
15,CIND,9/10,imp,RC,worker,,no,4
16,CIND,9/10,imp,RC,worker,,no,4
17,CIND,9/10,imp,RC,worker,,no,4
18,CIND,9/10,vag,RC,worker,,no,4
19,CIND,9/10,imp,KW,worker,,no,4
20,CIND,9/10,imp,RC,worker,,no,4
21,CIND,9/10,imp,RC,worker,,no,4
1,MUDGE,9/10,imp,CV,worker,,yes,4
2,MUDGE,9/10,imp,CV,worker,,yes,4
3,MUDGE,9/10,imp,CV,worker,,yes,4
4,MUDGE,9/10,imp,CV,worker,,yes,4
5,MUDGE,9/10,imp,CV,worker,,yes,4
6,MUDGE,9/10,imp,CV,worker,,yes,4
7,MUDGE,9/10,imp,solidago,worker,,no,4
8,MUDGE,9/10,imp,solidago,worker,,no,4
9,MUDGE,9/10,imp,solidago,worker,,no,4
10,MUDGE,9/10,imp,yellow flower need to ID,worker,,no,4
11,MUDGE,9/10,imp,CV,worker,,yes,4
12,MUDGE,9/10,vag,CV,worker,,no,4
13,MUDGE,9/10,imp,CV,worker,,yes,4
14,MUDGE,9/10,imp,CV,worker,,yes,4
15,MUDGE,9/10,imp,CV,worker,,no,4
16,MUDGE,9/10,imp,CV,worker,,no,4
17,MUDGE,9/10,imp,CV,worker,,no,4
18,MUDGE,9/10,imp,CV,worker,,no,4
19,MUDGE,9/10,imp,CV,worker,,no,4
